publish_date,positive,negative,neutral,compound,country,language
2019-03-15,0,0.394,0.606,-0.7579,Zimbabwe,ENG
2019-03-21,0,0.394,0.606,-0.6369,Zimbabwe,ENG
2019-03-20,0.239,0.211,0.55,0.0772,Zimbabwe,ENG
2019-03-20,0,0.247,0.753,-0.3182,Zimbabwe,ENG
2019-03-20,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-20,0.278,0,0.722,0.4019,Zimbabwe,ENG
2019-03-20,0,0.302,0.698,-0.5994,Zimbabwe,ENG
2019-03-22,0.075,0.208,0.717,-0.5423,Zimbabwe,ENG
2019-03-22,0,0.31,0.69,-0.4019,Zimbabwe,ENG
2019-03-22,0,0.437,0.563,-0.7351,Zimbabwe,ENG
2019-03-21,0.239,0.142,0.619,0.2732,Zimbabwe,ENG
2019-03-21,0,0.266,0.734,-0.4404,Zimbabwe,ENG
2019-03-19,0,0.459,0.541,-0.6249,Zimbabwe,ENG
2019-03-18,0,0.358,0.642,-0.5994,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-22,0,0.466,0.534,-0.7269,Zimbabwe,ENG
2019-03-22,0,0.266,0.734,-0.4404,Zimbabwe,ENG
2019-03-22,0,0.24,0.76,-0.6249,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-22,0.121,0,0.879,0.0258,Zimbabwe,ENG
2019-03-22,0,0.327,0.673,-0.6557,Zimbabwe,ENG
2019-03-22,0,0.251,0.749,-0.5719,Zimbabwe,ENG
2019-03-22,0.17,0.314,0.515,-0.4215,Zimbabwe,ENG
2019-03-22,0,0.367,0.633,-0.4404,Zimbabwe,ENG
2019-03-22,0,0.305,0.695,-0.6908,Zimbabwe,ENG
2019-03-22,0.116,0,0.884,0.1139,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0.412,0.588,-0.4215,Zimbabwe,ENG
2019-03-20,0,0.435,0.565,-0.9109,Zimbabwe,ENG
2019-03-20,0,0.178,0.822,-0.0772,Zimbabwe,ENG
2019-03-20,0,0,1,0,Zimbabwe,ENG
2019-03-20,0,0.328,0.672,-0.5994,Zimbabwe,ENG
2019-03-20,0,0.326,0.674,-0.4404,Zimbabwe,ENG
2019-03-20,0.604,0,0.396,0.7269,Zimbabwe,ENG
2019-03-22,0,0.206,0.794,-0.3818,Zimbabwe,ENG
2019-03-22,0.604,0,0.396,0.7269,Zimbabwe,ENG
2019-03-22,0.268,0,0.732,0.5106,Zimbabwe,ENG
2019-03-22,0.106,0,0.894,0.0772,Zimbabwe,ENG
2019-03-22,0,0.386,0.614,-0.6597,Zimbabwe,ENG
2019-03-22,0,0.576,0.424,-0.7783,Zimbabwe,ENG
2019-03-22,0,0.18,0.82,-0.296,Zimbabwe,ENG
2019-03-22,0.307,0,0.693,0.4767,Zimbabwe,ENG
2019-03-22,0,0.206,0.794,-0.3818,Zimbabwe,ENG
2019-03-22,0,0.133,0.867,-0.25,Zimbabwe,ENG
2019-03-22,0,0.262,0.738,-0.5994,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-22,0,0.256,0.744,-0.4767,Zimbabwe,ENG
2019-03-22,0,0.302,0.698,-0.5994,Zimbabwe,ENG
2019-03-22,0,0.327,0.673,-0.6557,Zimbabwe,ENG
2019-03-22,0,0.394,0.606,-0.5994,Zimbabwe,ENG
2019-03-22,0,0.39,0.61,-0.7506,Zimbabwe,ENG
2019-03-22,0.277,0.218,0.504,0.1779,Zimbabwe,ENG
2019-03-22,0,0.18,0.82,-0.296,Zimbabwe,ENG
2019-03-20,0,0.416,0.584,-0.7506,Zimbabwe,ENG
2019-03-22,0.247,0,0.753,0.3182,Zimbabwe,ENG
2019-03-22,0,0.386,0.614,-0.6597,Zimbabwe,ENG
2019-03-22,0,0.576,0.424,-0.7783,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-22,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-22,0,0.478,0.522,-0.7506,Zimbabwe,ENG
2019-03-22,0,0,1,0,Zimbabwe,ENG
2019-03-22,0,0.224,0.776,-0.3818,Zimbabwe,ENG
2019-03-23,0,0.429,0.571,-0.6705,Zimbabwe,ENG
2019-03-23,0.247,0,0.753,0.3182,Zimbabwe,ENG
2019-03-22,0.213,0,0.787,0.4019,Zimbabwe,ENG
2019-03-22,0,0.135,0.865,-0.1027,Zimbabwe,ENG
2019-03-23,0.247,0.237,0.515,0.0258,Zimbabwe,ENG
2019-03-23,0.237,0.17,0.593,0.2263,Zimbabwe,ENG
2019-03-23,0,0.47,0.53,-0.7964,Zimbabwe,ENG
2019-03-23,0,0.268,0.732,-0.5106,Zimbabwe,ENG
2019-03-23,0,0.135,0.865,-0.1027,Zimbabwe,ENG
2019-03-20,0,0.255,0.745,-0.34,Zimbabwe,ENG
2019-03-23,0.25,0.185,0.565,0.2023,Zimbabwe,ENG
2019-03-23,0,0.135,0.865,-0.1027,Zimbabwe,ENG
2019-03-23,0.241,0.126,0.632,0.25,Zimbabwe,ENG
2019-03-23,0.19,0.122,0.688,0.3182,Zimbabwe,ENG
2019-03-23,0,0.378,0.622,-0.743,Zimbabwe,ENG
2019-03-23,0,0,1,0,Zimbabwe,ENG
2019-03-23,0.231,0,0.769,0.2023,Zimbabwe,ENG
2019-03-23,0,0.223,0.777,-0.3182,Zimbabwe,ENG
2019-03-23,0,0,1,0,Zimbabwe,ENG
2019-03-23,0,0,1,0,Zimbabwe,ENG
2019-03-23,0.25,0.185,0.565,0.2023,Zimbabwe,ENG
